Date,Sector,Company,Monthly_Return,Asset_Value,Year,Month,Quarter,YearMonth
2020-01-31,Mining,Mining_Company_1,0.0099559166226622,379397273.81513226,2020,1,1,2020-01
2020-01-31,Mining,Mining_Company_2,0.0107771804110084,120197534.1512912,2020,1,1,2020-01
2020-01-31,Mining,Mining_Company_3,0.0969690872428852,59263022.4331111,2020,1,1,2020-01
2020-01-31,Mining,Mining_Company_4,-0.0395184288735412,132532029.43404524,2020,1,1,2020-01
2020-01-31,Mining,Mining_Company_5,-0.1232398626047259,244375258.38895208,2020,1,1,2020-01
2020-01-31,Mining,Mining_Company_6,-0.0836473755603643,112772237.29341882,2020,1,1,2020-01
2020-01-31,Mining,Mining_Company_7,-0.1100847217783536,255231492.89766616,2020,1,1,2020-01
2020-01-31,Energy,Energy_Company_1,0.0285865746953959,281405497.2861252,2020,1,1,2020-01
2020-01-31,Energy,Energy_Company_2,0.0021831308789831,323395183.35564727,2020,1,1,2020-01
2020-01-31,ICT,ICT_Company_1,0.060665432927329,93952451.30287272,2020,1,1,2020-01
2020-01-31,ICT,ICT_Company_2,0.1181013316838458,104917205.68015048,2020,1,1,2020-01
2020-01-31,ICT,ICT_Company_3,0.0014759575153077,459194180.9354519,2020,1,1,2020-01
2020-01-31,ICT,ICT_Company_4,-0.0485830868523498,190269984.2402349,2020,1,1,2020-01
2020-01-31,Transport,Transport_Company_1,0.1225896002827332,133184504.98648718,2020,1,1,2020-01
2020-01-31,Transport,Transport_Company_2,0.0286738886947115,89821625.92336378,2020,1,1,2020-01
2020-01-31,Transport,Transport_Company_3,-0.097452087492573,172107064.29825318,2020,1,1,2020-01
2020-01-31,Agriculture,Agriculture_Company_1,0.0845667301764734,176420529.35932133,2020,1,1,2020-01
2020-01-31,Agriculture,Agriculture_Company_2,-0.0034119555401971,410988641.33931786,2020,1,1,2020-01
2020-01-31,Financials,Financials_Company_1,0.0222136775954157,52484952.705621086,2020,1,1,2020-01
2020-01-31,Financials,Financials_Company_2,0.0601458008637728,378053225.61844426,2020,1,1,2020-01
2020-01-31,Real Estate,Real Estate_Company_1,-0.0216624480371871,438396541.6440171,2020,1,1,2020-01
2020-01-31,Manufacturing,Manufacturing_Company_1,0.0368173412365947,78601257.62871064,2020,1,1,2020-01
2020-01-31,Manufacturing,Manufacturing_Company_2,-0.0810699033732958,378322780.2521288,2020,1,1,2020-01
2020-02-29,Mining,Mining_Company_1,0.0480983827688059,262496716.3228772,2020,2,1,2020-02
2020-02-29,Mining,Mining_Company_2,-0.029324787496649,392353271.8776038,2020,2,1,2020-02
2020-02-29,Mining,Mining_Company_3,0.0643148146668229,272208018.3639758,2020,2,1,2020-02
2020-02-29,Mining,Mining_Company_4,0.016920801936788,61438607.034842834,2020,2,1,2020-02
2020-02-29,Mining,Mining_Company_5,0.0568603428155273,278856811.0241163,2020,2,1,2020-02
2020-02-29,Mining,Mining_Company_6,0.031378942154913,234672315.36603335,2020,2,1,2020-02
2020-02-29,Mining,Mining_Company_7,0.0478875721616266,84640959.42295685,2020,2,1,2020-02
2020-02-29,Energy,Energy_Company_1,-0.0384721618093293,468363943.55415785,2020,2,1,2020-02
2020-02-29,Energy,Energy_Company_2,0.0835635708813765,442157265.58447295,2020,2,1,2020-02
2020-02-29,ICT,ICT_Company_1,0.0345016558988283,451651549.32049,2020,2,1,2020-02
2020-02-29,ICT,ICT_Company_2,0.0510863742384098,453241084.965572,2020,2,1,2020-02
2020-02-29,ICT,ICT_Company_3,-0.0223504030171089,152570823.14387375,2020,2,1,2020-02
